,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb
69,0.0,0.0,224.0,0.0,0.0,1.2,2.4,0,2.17G,470M,863b,10.8k,8,rs0,SEC,36:39.8,1,0,3,0,0,16
70,1.0,0.0,96.0,0.0,0.0,1.6,2.9,0,2.24G,533M,413b,5.99k,8,rs0,SEC,36:51.4,1,1,2,0,0,0
71,0.0,0.0,158.0,0.0,0.0,1.8,3.1,0,2.26G,562M,469b,6.19k,8,rs0,SEC,37:04.6,1,0,2,0,0,1
72,88.0,0.0,118066.0,0.0,0.0,2.0,3.4,0,2.31G,607M,272k,3.57m,8,rs0,SEC,37:04.7,1,0,1189,0,0,1
73,0.0,0.0,17.0,0.0,0.0,2.2,3.6,0,2.33G,629M,67b,2.64k,8,rs0,SEC,37:19.7,1,0,0,0,0,16
74,0.0,0.0,247.0,0.0,0.0,2.6,4.0,0,2.39G,695M,536b,6.64k,8,rs0,SEC,37:32.6,1,0,2,0,0,11
75,0.0,0.0,504.0,0.0,0.0,3.0,4.4,0,2.44G,748M,1.13k,14.9k,8,rs0,SEC,37:38.4,1,0,4,0,0,8
76,0.0,0.0,139.0,0.0,0.0,3.3,4.8,0,2.50G,808M,368b,6.75k,8,rs0,SEC,37:46.9,1,0,1,0,0,6
77,0.0,0.0,181.0,0.0,0.0,3.5,5.0,0,2.52G,833M,377b,5.39k,8,rs0,SEC,37:59.2,1,0,1,0,0,1
78,0.0,0.0,645.0,0.0,0.0,3.9,5.4,0,2.57G,885M,1.20k,15.8k,8,rs0,SEC,38:04.3,1,0,5,0,0,1
79,0.0,0.0,163.0,0.0,0.0,4.3,5.8,0,2.64G,949M,312b,6.63k,8,rs0,SEC,38:12.6,1,0,1,0,0,1
80,0.0,0.0,169.0,0.0,0.0,4.4,5.9,0,2.65G,965M,319b,5.04k,8,rs0,SEC,38:25.5,2,0,1,0,0,2
81,0.0,0.0,668.0,0.0,0.0,4.7,6.3,0,2.70G,1013M,1.34k,16.6k,8,rs0,SEC,38:30.7,1,0,5,0,0,16
