usr,sys,idl,wai,stl,read,writ,recv,send,in,out,int,csw,Start,repl8,repl9,rticket,wticket,ocursors,aconn,pf,memo,dd,bytescurrentused,readq,writeq,,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb,,yread,ytot,ywrite,srread,srtot,srwrite,ssread,sstot,sswrite,elread,eltot,elwrite,opread,optot,opwrite,time,,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb,,yread,ytot,ywrite,srread,srtot,srwrite,ssread,sstot,sswrite,elread,eltot,elwrite,opread,optot,opwrite,time
15,3,82,0,0,0,24k,2572B,11k,0,0,2237,2380,11:30:56.371758541,0,0,1,0,1,808,291,103,5218430,407027,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.99G,254M,9.63k,425k,8,rs0,PRI,32:04.4,1,0,63,0,0,0,20,4638.0,15197.0,10558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2019-11-26T11:31:45Z,20,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0,1.99G,210M,2.07k,39.7k,10,rs0,SEC,59:31.4,1,0,4,0,0,0,20,0.0,13217.0,13217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26T18:16:08Z
14,4,82,0,0,0,0,2442B,11k,0,0,2275,2315,11:30:57.275180832,0,0,1,0,1,808,291,103,5218430,407027,0,0,21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.99G,254M,12.1k,441k,8,rs0,PRI,32:05.4,1,0,78,0,0,0,21,5516.0,15894.0,10378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2019-11-26T11:31:46Z,21,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,761b,38.8k,10,rs0,SEC,59:32.4,1,0,3,0,0,0,21,0.0,8252.0,8252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-26T18:16:09Z
14,4,82,0,0,0,16k,2442B,11k,0,0,2326,2440,11:30:58.198834308,0,0,1,0,1,808,291,103,5218430,407027,0,0,22,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.99G,254M,15.6k,504k,8,rs0,PRI,32:06.4,1,0,77,0,0,0,22,5073.0,17106.0,12033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2019-11-26T11:31:47Z,22,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,817b,39.4k,10,rs0,SEC,59:33.4,1,0,3,0,0,0,22,0.0,4710.0,4710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-26T18:16:10Z
15,3,82,0,0,0,0,2440B,11k,0,0,2152,2184,11:30:59.094140038,0,0,1,0,1,808,291,103,5218430,407027,0,0,23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.99G,254M,11.6k,503k,8,rs0,PRI,32:07.4,1,0,76,0,0,0,23,6169.0,16245.0,10075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2019-11-26T11:31:48Z,23,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,760b,38.7k,10,rs0,SEC,59:34.4,1,0,3,0,0,0,23,0.0,1142.0,1142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26T18:16:11Z
15,3,82,0,0,0,60k,2376B,11k,0,0,2253,2400,11:30:59.990364948,0,0,1,0,1,808,291,103,5218430,407027,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.99G,254M,11.1k,501k,8,rs0,PRI,32:08.4,1,0,73,0,0,0,24,4195.0,16317.0,12122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2019-11-26T11:31:49Z,24,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,760b,38.7k,10,rs0,SEC,59:35.4,1,0,3,0,0,0,24,0.0,2988.0,2988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26T18:16:12Z
15,3,83,0,0,0,0,2638B,11k,0,0,2197,2302,11:31:00.886389362,0,0,1,0,1,808,291,103,5218430,407027,0,0,25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.99G,254M,11.6k,502k,8,rs0,PRI,32:09.4,1,0,75,0,0,0,25,3812.0,15421.0,11609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2019-11-26T11:31:50Z,25,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0,1.99G,210M,3.38k,40.8k,10,rs0,SEC,59:36.4,1,0,4,0,0,0,25,0.0,17636.0,17636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26T18:16:13Z
14,3,84,0,0,0,0,2574B,10k,0,0,2157,2267,11:31:01.786957983,0,0,1,0,1,808,291,103,5218430,407027,0,0,26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.99G,254M,10.4k,464k,8,rs0,PRI,32:10.4,1,0,69,0,0,0,26,4149.0,16031.0,11882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2019-11-26T11:31:51Z,26,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,760b,38.7k,10,rs0,SEC,59:37.4,1,0,3,0,0,0,26,0.0,7281.0,7281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26T18:16:14Z
13,3,83,0,0,0,136k,2310B,10k,0,0,2179,2211,11:31:02.696321144,0,0,1,0,1,808,291,103,5218430,407027,0,0,27,0.0,26.0,62.0,0.0,25.0,0.0,1.0,0,2.00G,254M,92.1k,580k,25,rs0,PRI,32:11.4,4,10,156,0,0,0,27,5536.0,15436.0,9899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2019-11-26T11:31:52Z,27,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,759b,38.7k,10,rs0,SEC,59:38.4,1,0,2,0,0,0,27,0.0,4775.0,4775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-26T18:16:15Z
14,4,82,0,0,0,0,2374B,11k,0,0,2274,2473,11:31:03.599559758,10000,10000,1,0,1,808,291,103,5218430,407235,0,0,28,0.0,117.0,291.0,0.0,28.0,0.1,1.1,0,2.00G,266M,189k,668k,25,rs0,PRI,32:12.4,4,13,83,0,0,0,28,4546.0,15609.0,11063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2019-11-26T11:31:53Z,28,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,760b,38.7k,10,rs0,SEC,59:39.4,1,0,3,0,0,0,28,0.0,14513.0,14513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26T18:16:16Z
14,4,82,0,0,0,124k,2574B,11k,0,0,2487,2822,11:31:04.499260985,0,0,1,0,1,808,291,103,5218430,407235,0,0,29,0.0,95.0,235.0,0.0,6.0,0.1,1.1,0,2.01G,277M,140k,631k,25,rs0,PRI,32:13.4,9,8,73,0,0,0,29,5460.0,16705.0,11245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2019-11-26T11:31:54Z,29,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,818b,39.4k,10,rs0,SEC,59:40.4,1,0,4,0,0,0,29,0.0,5206.0,5206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-26T18:16:17Z
