ns,total,read,write,time
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:40Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:40Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:40Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:40Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:41Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:41Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:41Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:41Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:41Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:41Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:41Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:41Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:41Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:41Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:42Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:42Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:42Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:42Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:42Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:42Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:42Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:42Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:42Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:42Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:43Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:43Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:43Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:43Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:43Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:43Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:43Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:43Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:43Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:43Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:44Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:44Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:44Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:44Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:44Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:44Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:44Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:44Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:44Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:44Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:45Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:45Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:45Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:45Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:45Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:45Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:45Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:45Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:45Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:45Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:46Z
