Start,repl8,repl9,rticket,wticket,ocursors,aconn,pf,memo,dd,bytescurrentused,readq,writeq
12:51:48.957626935,3000,6000,9,13,1,787,0,2099,1605695450,2113962131,0,0
12:51:49.974276673,4000,7000,4,11,1,787,0,2109,1614883706,2124138925,0,0
12:51:50.987967459,4000,5000,4,13,1,787,0,2115,1621297627,2131534063,0,0
12:51:51.982114027,5000,6000,6,12,1,787,0,2122,1629029186,2138783466,0,0
12:51:53.310477020,5000,6000,4,11,1,787,0,2131,1638382101,2148951650,0,0
12:51:54.358756064,6000,7000,4,11,1,787,0,2140,1648279558,2158178192,0,0
12:51:55.348829927,4000,5000,6,13,1,787,0,2148,1657533301,2168462774,0,0
12:51:56.357528427,5000,6000,4,11,1,787,0,2158,1667972459,2178384976,0,0
12:51:57.636071329,5000,5000,7,10,1,787,0,2167,1678149608,2187800096,0,16
12:51:58.672762680,6000,6000,10,8,1,787,0,2171,1683043593,2193717727,0,0
12:51:59.683450111,5000,7000,5,12,1,787,0,2179,1692589214,2201337201,0,0
12:52:00.928363299,5000,7000,6,10,1,787,0,2188,1702419154,2212100683,0,0
12:52:01.966657426,6000,8000,4,12,1,787,0,2193,1708992007,2219545457,0,0
12:52:02.994527933,4000,7000,1,0,1,787,0,2198,1712335324,2221506307,0,0
12:52:03.992908909,5000,8000,5,10,1,787,0,2201,1717418336,2227191253,0,0
12:52:05.000385612,3000,6000,6,9,1,787,0,2210,1727111295,2236973633,0,0
12:52:06.008180360,4000,7000,4,11,1,787,0,2217,1734674660,2246089954,0,0
12:52:07.019180087,3000,7000,5,11,1,787,0,2224,1742788656,2254099807,0,0
12:52:08.097516132,4000,8000,9,14,1,787,0,2233,1752855913,2263475536,0,0
12:52:09.521004903,3000,5000,6,10,1,787,0,2245,1768439755,2277867529,0,0
12:52:11.128622744,4000,5000,7,11,1,787,0,2256,1776731567,2287165632,0,0
12:52:12.134745796,5000,6000,4,12,1,787,0,2264,1785155796,2296155730,0,0
12:52:13.358314815,3000,5000,5,12,1,787,0,2273,1797162213,2306073078,0,0
12:52:14.391067929,4000,6000,6,11,1,787,0,2283,1807107985,2316442980,0,0
12:52:15.382518637,4000,5000,8,9,1,787,0,2291,1815399358,2324748756,0,0
12:52:16.449549969,5000,6000,8,8,1,787,0,2299,1825160722,2333435881,0,16
12:52:17.473147397,5000,5000,1,11,1,787,0,2302,1828918232,2337397602,0,1
12:52:18.468210493,7000,7000,8,11,1,787,0,2309,1836555243,2344823168,0,0
12:52:19.492143121,4000,6000,7,12,1,787,0,2317,1844278430,2352634657,0,0
12:52:20.503972739,5000,7000,5,12,1,787,0,2324,1853206197,2361865703,0,0
12:52:21.495560462,3000,6000,5,12,1,787,0,2333,1862021380,2369161415,0,16
12:52:22.500280931,4000,7000,1,14,1,787,0,2335,1865747671,2372612937,0,0
12:52:24.010386224,5000,6000,8,11,1,787,0,2343,1874366326,2382535711,0,0
12:52:25.029438216,2000,6000,4,12,1,787,0,2352,1884633261,2391118173,0,0
