usr,sys,idl,wai,stl,read,writ,recv,send,in,out,int,csw,Start,repl8,repl9,rticket,wticket,ocursors,aconn,pf,memo,dd,bytescurrentused,readq,writeq,,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb,,yread,ytot,ywrite,srread,srtot,srwrite,ssread,sstot,sswrite,elread,eltot,elwrite,opread,optot,opwrite,time,,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb,,yread,ytot,ywrite,srread,srtot,srwrite,ssread,sstot,sswrite,elread,eltot,elwrite,opread,optot,opwrite,time
0,0,100,0,0,0,0,54B,0,0,0,258,447,12:48:12.198517664,4000,5000,5,9,1,787,0,331,128959038,228646626,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,10.6k,499k,15,rs0,PRI,47:58.3,1,0,70,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:47Z,20,0.0,0.0,152.0,0.0,6.0,0.1,0.7,0,1.96G,206M,8.05k,62.6k,10,rs0,SEC,48:06.8,2,0,7,0,0,8,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:37Z
1,0,99,0,0,0,0,738B,1870B,0,0,625,976,12:48:13.270439209,4000,5000,9,9,1,787,0,344,136442354,242458783,0,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,11.0k,466k,14,rs0,PRI,47:59.3,1,0,72,0,0,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:48Z,21,0.0,0.0,169.0,0.0,2.0,0.1,0.7,0,1.99G,210M,6.61k,97.3k,10,rs0,SEC,48:07.9,2,0,9,0,0,2,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:38Z
0,0,100,0,0,0,56k,108B,54B,0,0,307,508,12:48:14.371968583,5000,6000,7,8,1,787,0,357,143917761,255916383,0,0,22,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0,1.96G,216M,15.8k,467k,14,rs0,PRI,48:00.3,1,0,73,0,0,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:49Z,22,0.0,0.0,180.0,0.0,4.0,0.1,0.7,0,1.99G,218M,6.71k,99.7k,10,rs0,SEC,48:08.9,2,0,6,0,0,2,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:39Z
0,0,100,0,0,0,28k,0,0,0,0,342,580,12:48:15.449958285,3000,6000,7,9,1,787,0,369,150684816,268124380,0,0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,10.9k,464k,14,rs0,PRI,48:01.3,1,0,70,0,0,0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:50Z,23,0.0,0.0,329.0,0.0,5.0,0.2,0.8,0,1.99G,227M,5.77k,149k,10,rs0,SEC,48:09.7,2,0,7,0,0,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:40Z
0,0,100,0,0,0,32k,0,0,0,0,527,931,12:48:16.528723636,4000,7000,4,8,1,787,0,379,157150794,280431805,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,10.4k,464k,14,rs0,PRI,48:02.3,1,0,69,0,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:51Z,24,0.0,0.0,423.0,0.0,7.0,0.2,0.9,0,1.99G,235M,10.5k,172k,10,rs0,SEC,48:10.2,3,0,10,0,0,2,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:41Z
0,0,100,0,0,0,0,196B,130B,0,0,395,632,12:48:17.635168558,3000,5000,3,14,1,787,0,391,164191032,292740451,0,0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,10.9k,465k,14,rs0,PRI,48:03.3,1,0,71,0,0,0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:52Z,25,0.0,0.0,130.0,0.0,1.0,0.3,0.9,0,2.00G,248M,2.63k,70.8k,10,rs0,SEC,48:12.6,2,0,3,0,0,15,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:42Z
1,0,99,0,0,0,0,786B,1580B,0,0,595,959,12:48:18.720826497,4000,5000,6,13,1,787,0,403,170814172,304882489,0,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,9.64k,425k,14,rs0,PRI,48:04.3,1,0,63,0,0,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:53Z,26,0.0,0.0,229.0,0.0,2.0,0.3,1.0,0,2.03G,259M,5.12k,116k,10,rs0,SEC,48:13.7,2,0,6,0,0,9,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:43Z
0,0,100,0,0,0,76k,0,0,0,0,474,781,12:48:19.805277243,3000,6000,4,14,1,787,0,414,177985080,316690551,0,0,27,0.0,168.0,398.0,0.0,56.0,0.1,0.8,0,1.97G,232M,307k,835k,31,rs0,PRI,48:05.3,5,12,181,0,0,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:54Z,27,0.0,0.0,199.0,0.0,1.0,0.4,1.1,0,2.03G,273M,2.35k,81.9k,10,rs0,SEC,48:15.3,1,0,3,0,0,10,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:44Z
1,0,100,0,0,0,28k,0,0,0,0,467,767,12:48:20.890165658,3000,6000,6,8,1,787,0,427,185277667,330662922,0,0,28,0.0,151.0,291.0,0.0,7.0,0.1,0.9,0,1.98G,248M,189k,653k,31,rs0,PRI,48:06.3,9,8,69,0,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:55Z,28,0.0,0.0,374.0,0.0,3.0,0.5,1.2,0,2.03G,281M,5.06k,148k,10,rs0,SEC,48:16.7,2,0,7,0,0,9,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:45Z
0,0,99,0,0,0,0,0,0,0,0,466,793,12:48:22.022787241,5000,7000,8,12,1,787,0,441,194307329,346262709,0,0,29,0.0,109.0,292.0,0.0,5.0,0.2,1.0,0,1.99G,262M,169k,616k,31,rs0,PRI,48:07.3,6,11,66,0,0,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:56Z,29,0.0,0.0,491.0,0.0,4.0,0.5,1.3,0,2.06G,299M,4.19k,186k,10,rs0,SEC,48:17.7,3,0,5,0,0,14,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:46Z
