insert,query,update,delete,getmore,command,dirty,used,flushes,vsize,res,qrw,arw,net_in,net_out,conn,set,repl,time
*0,168,400,*0,0,51|0,1.20%,4.70%,0,2.52G,800M,0|0,8|9,223k,512k,31,rs0,PRI,49:01.3
*0,120,273,*0,1,66|0,1.30%,4.80%,0,2.53G,808M,0|0,5|12,157k,789k,31,rs0,PRI,49:02.3
*0,151,347,*0,1,62|0,1.30%,4.90%,0,2.54G,817M,0|0,4|12,196k,758k,31,rs0,PRI,49:03.3
*0,99,220,*0,0,44|0,1.30%,4.90%,0,2.54G,824M,0|0,4|13,124k,415k,31,rs0,PRI,49:04.3
*0,138,328,*0,1,65|0,1.40%,5.00%,0,2.55G,833M,0|0,5|12,187k,742k,31,rs0,PRI,49:05.3
*0,131,328,*0,2,54|0,1.40%,5.00%,0,2.56G,842M,0|0,7|10,180k,733k,31,rs0,PRI,49:06.3
*0,103,252,*0,0,68|0,1.50%,5.10%,0,2.57G,848M,0|0,3|14,143k,580k,31,rs0,PRI,49:07.3
*0,137,313,*0,0,60|0,1.50%,5.10%,0,2.57G,857M,0|0,10|7,178k,633k,31,rs0,PRI,49:08.3
*0,134,248,*0,1,69|0,1.60%,5.20%,0,2.58G,866M,0|16,1|0,153k,836k,31,rs0,PRI,49:09.3
*0,75,160,*0,3,70|0,1.60%,5.20%,0,2.59G,870M,0|0,12|5,105k,655k,31,rs0,PRI,49:10.3
*0,103,229,*0,1,61|0,1.60%,5.30%,0,2.59G,876M,0|0,9|8,132k,539k,31,rs0,PRI,49:11.3
*0,170,361,*0,3,71|0,1.70%,5.30%,0,2.60G,886M,0|0,8|9,214k,721k,31,rs0,PRI,49:12.3
*0,155,347,*0,1,72|0,1.70%,5.40%,0,2.61G,896M,0|0,6|11,201k,813k,31,rs0,PRI,49:13.3
*0,110,322,*0,1,61|0,1.80%,5.50%,0,2.62G,905M,0|0,8|9,172k,637k,31,rs0,PRI,49:14.3
*0,113,300,*0,0,68|0,1.80%,5.50%,0,2.63G,912M,0|0,6|11,166k,662k,31,rs0,PRI,49:15.3
*0,144,327,*0,1,54|0,1.90%,5.60%,0,2.64G,921M,0|0,4|13,188k,624k,31,rs0,PRI,49:16.3
*0,94,226,*0,3,41|0,1.90%,5.60%,0,2.64G,928M,0|0,7|10,130k,524k,31,rs0,PRI,49:17.3
*0,137,290,*0,1,66|0,1.90%,5.70%,0,2.65G,935M,0|0,4|13,171k,691k,31,rs0,PRI,49:18.3
*0,148,366,*0,1,44|0,2.00%,5.80%,0,2.66G,945M,0|0,5|12,202k,508k,31,rs0,PRI,49:19.3
*0,192,430,*0,3,69|0,2.00%,5.80%,0,2.67G,956M,0|0,5|12,245k,822k,31,rs0,PRI,49:20.3
*0,155,317,*0,1,58|0,2.10%,5.90%,0,2.68G,965M,0|0,9|8,186k,734k,31,rs0,PRI,49:21.3
*0,97,193,*0,0,58|0,2.10%,5.90%,0,2.69G,971M,0|0,4|6,116k,629k,32,rs0,PRI,49:22.3
*0,120,290,*0,3,60|0,2.20%,6.00%,0,2.69G,978M,0|0,8|9,165k,604k,31,rs0,PRI,49:23.3
*0,107,256,*0,1,54|0,2.20%,6.00%,0,2.70G,985M,0|0,4|13,146k,617k,31,rs0,PRI,49:24.3
*0,151,299,*0,2,71|0,2.20%,6.10%,0,2.71G,992M,0|0,7|10,182k,754k,31,rs0,PRI,49:25.3
*0,190,410,*0,3,71|0,2.30%,6.20%,0,2.72G,1003M,0|0,1|16,238k,735k,31,rs0,PRI,49:26.3
*0,149,415,*0,1,73|0,2.30%,6.20%,0,2.73G,1013M,0|0,5|12,227k,780k,31,rs0,PRI,49:27.3
*0,118,267,*0,0,62|0,2.40%,6.30%,0,2.73G,1020M,0|0,4|13,154k,557k,31,rs0,PRI,49:28.3
*0,165,355,*0,1,67|0,2.40%,6.40%,0,2.74G,1.01G,0|0,8|9,206k,797k,32,rs0,PRI,49:29.3
*0,106,293,*0,0,61|0,2.50%,6.40%,0,2.75G,1.01G,0|0,5|12,160k,544k,31,rs0,PRI,49:30.3
*0,91,254,*0,0,68|0,2.50%,6.50%,0,2.76G,1.02G,0|0,3|14,142k,762k,31,rs0,PRI,49:31.3
*0,174,355,*0,3,63|0,2.60%,6.50%,0,2.77G,1.03G,0|0,6|11,208k,819k,31,rs0,PRI,49:32.3
*0,92,225,*0,0,66|0,2.60%,6.60%,0,2.77G,1.03G,0|0,7|10,129k,622k,31,rs0,PRI,49:33.3
*0,149,329,*0,0,66|0,2.60%,6.60%,0,2.78G,1.04G,0|0,4|13,189k,641k,31,rs0,PRI,49:34.3
*0,133,322,*0,2,70|0,2.70%,6.70%,0,2.79G,1.05G,0|0,6|11,182k,666k,31,rs0,PRI,49:35.3
